2016-05-26 06:07:59 status half-installed libncursesw5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 install libtinfo5:armhf <none> 5.9+20140913-1+b1
2016-05-26 06:07:59 status half-installed libtinfo5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 install ncurses-base:all <none> 5.9+20140913-1
2016-05-26 06:07:59 status half-installed ncurses-base:all 5.9+20140913-1
2016-05-26 06:07:59 status unpacked ncurses-base:all 5.9+20140913-1
2016-05-26 06:08:00 status unpacked ncurses-base:all 5.9+20140913-1
2016-05-26 06:08:00 install ncurses-bin:armhf <none> 5.9+20140913-1+b1
2016-05-26 06:08:00 status half-installed ncurses-bin:armhf 5.9+20140913-1+b1
2016-05-26 06:08:00 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-05-26 06:08:00 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2016-05-26 06:08:00 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:00 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-05-26 06:08:01 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-26 06:08:01 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-26 06:08:01 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-05-26 06:08:01 install libpam0g:armhf <none> 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1+b1
2016-05-26 06:08:01 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2016-05-26 06:08:01 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2016-05-26 06:08:01 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2016-05-26 06:08:01 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
